order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,Barstow 1891,https://panoptes-uploads.zooniverse.org/production/subject_location/96e06839-52b7-4c09-b8bb-fe9ff7be201c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/de209c41-298d-47c9-a95e-6aa234af24f4.jpeg,1400,2024,Fri May 05 16:49:09 2017,9630804
2,Barstow 1891,https://panoptes-uploads.zooniverse.org/production/subject_location/013489ce-85db-4578-aa7a-488c05c0e27e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9e59d1dd-1c6a-4e70-aac7-55a3947a0424.jpeg,1964,2024,Fri May 05 16:49:09 2017,9630805
3,Barstow 1891,https://panoptes-uploads.zooniverse.org/production/subject_location/55bfca28-bd59-4012-89b8-20c5dcc3274f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9b336b55-8213-480c-8df0-c31215b93043.jpeg,1400,2024,Fri May 05 16:49:09 2017,9630806
4,Barstow 1891,https://panoptes-uploads.zooniverse.org/production/subject_location/3d432ba8-c032-4e9d-b034-1559481801b3.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/47c9689d-8a54-4648-ab56-d0eb4eb04d28.jpeg,1481,2024,Fri May 05 16:49:10 2017,9630807
5,Barstow 1891,https://panoptes-uploads.zooniverse.org/production/subject_location/70cac0ba-1be3-48f6-8065-07a810550494.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9f42118f-35fa-4a8a-8fa8-eef0559a806f.jpeg,1400,2024,Fri May 05 16:49:10 2017,9630808
6,Barstow 1891,https://panoptes-uploads.zooniverse.org/production/subject_location/ae28087f-dc8d-42f1-8187-bcbfafbefc91.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/45c3c1db-83a4-4415-a018-ea7a084be8e7.jpeg,1477,2024,Fri May 05 16:49:10 2017,9630809
7,Barstow 1891,https://panoptes-uploads.zooniverse.org/production/subject_location/f4f4553c-f040-477d-b851-23431a659c93.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/6b10fe5e-9056-443b-9c49-716d30af4423.jpeg,1400,2024,Fri May 05 16:49:10 2017,9630810
8,Barstow 1891,https://panoptes-uploads.zooniverse.org/production/subject_location/5c1a82ca-89f3-46bb-ae90-806e41e45089.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/3809d081-8c97-4bd6-b4d4-4345c44b690d.jpeg,1477,2024,Fri May 05 16:49:10 2017,9630811
9,Barstow 1891,https://panoptes-uploads.zooniverse.org/production/subject_location/d7d5f924-e3da-44a7-9886-083bdc0c0eaf.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/b4b8ed1b-6744-41e2-a6e2-0c45e6eedcfc.jpeg,1400,2024,Fri May 05 16:49:10 2017,9630812
10,Barstow 1891,https://panoptes-uploads.zooniverse.org/production/subject_location/49f9c0a4-b0bc-4049-84fc-338a9014009c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/50ae7ade-01ec-4c4e-a2d5-7a580f9feef7.jpeg,1486,2024,Fri May 05 16:49:10 2017,9630813
