order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,Baylies 1890,https://panoptes-uploads.zooniverse.org/production/subject_location/09ec1478-40bb-492b-8b60-1e8244174377.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/174b0cdd-9bf0-4d00-86a2-6364dc97d9a5.jpeg,911,1399,Fri May 05 16:49:47 2017,9631100
2,Baylies 1890,https://panoptes-uploads.zooniverse.org/production/subject_location/2c2fbadc-45a8-410f-a7de-1db35b581b10.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/cfe61cda-9164-43cd-acc3-a75e92395033.jpeg,919,1399,Fri May 05 16:49:47 2017,9631101
3,Baylies 1890,https://panoptes-uploads.zooniverse.org/production/subject_location/ffb89640-4822-441e-98c9-85f8131d1b5b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/4e53d5df-df59-496a-9ca2-24d561af146f.jpeg,911,1399,Fri May 05 16:49:47 2017,9631366
4,Baylies 1890,https://panoptes-uploads.zooniverse.org/production/subject_location/1a6da6c5-851f-43c7-bb86-b6fae8e8b14e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0392d718-12b3-4840-b42c-75df9bac58e1.jpeg,919,1399,Fri May 05 16:49:47 2017,9631367
5,Baylies 1890,https://panoptes-uploads.zooniverse.org/production/subject_location/58db8c15-e3df-41dc-a7f4-c3373ed65990.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/42d793f6-f29f-462f-902d-999f43bc99bd.jpeg,911,1399,Fri May 05 16:49:48 2017,9631368
6,Baylies 1890,https://panoptes-uploads.zooniverse.org/production/subject_location/9e9cc130-7232-4245-9c85-2465fbf391cb.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/c2879241-de24-4c9b-92fb-576f19613486.jpeg,919,1399,Fri May 05 16:49:48 2017,9631369
7,Baylies 1890,https://panoptes-uploads.zooniverse.org/production/subject_location/30635656-eec5-48f7-920a-915641e81f8a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/34d2b3cf-8b50-4a70-8cea-e58f697bf3dc.jpeg,911,1399,Fri May 05 16:49:48 2017,9631370
8,Baylies 1890,https://panoptes-uploads.zooniverse.org/production/subject_location/37952b8a-97fe-426e-a003-4da9336945e5.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/ac8d7192-55a3-4fda-a0c9-804a842b9c8d.jpeg,919,1399,Fri May 05 16:49:48 2017,9631371
9,Baylies 1890,https://panoptes-uploads.zooniverse.org/production/subject_location/90101514-0469-421d-8208-b2baf340bff4.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/bbdb6797-ed1f-43ea-93da-592e64e848b0.jpeg,911,1399,Fri May 05 16:49:48 2017,9631372
10,Baylies 1890,https://panoptes-uploads.zooniverse.org/production/subject_location/c7b921b3-2671-4669-a3ce-18be6fd87f1e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/b59d9688-9388-462f-8c4b-604623655ec5.jpeg,919,1399,Fri May 05 16:49:48 2017,9631373
