order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/a9044e18-f7e9-404f-95fa-2f0be5b03951.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/c6e04666-53dd-4ba2-b474-d592afcfedce.jpeg,1083,1399,Fri May 05 16:50:31 2017,9634012
2,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/0e2d4f43-2915-40d4-9752-c5405ee3e695.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/45cb2271-88f2-473f-a4cc-7379f5a4f128.jpeg,1065,1399,Fri May 05 16:50:31 2017,9634015
3,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/2883e3b9-2854-4b59-b7f6-5b5d936f8418.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9e526776-1374-4374-91d4-39411ce2cc23.jpeg,1083,1399,Fri May 05 16:50:32 2017,9634018
4,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/feb7c622-a1b4-4168-b66c-c34b9eeb3400.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9b6e93f8-eeb8-4682-bbff-83586f72c101.jpeg,1059,1400,Fri May 05 16:50:32 2017,9634020
5,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/abcbb354-76ae-4c43-8213-3ea8e6757e48.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/e4c9660c-d8b1-47b3-907a-4d145668fec5.jpeg,1083,1399,Fri May 05 16:50:32 2017,9634024
6,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/7e66f181-2673-4773-95d8-73d76723ac0e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/4d178ece-050c-4fd2-baa9-933ea9878141.jpeg,1065,1399,Fri May 05 16:50:32 2017,9634025
7,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/7cd18c36-e411-45f6-93a8-269c3f573b16.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/164e3443-974a-41cd-8e20-b6d5590fcf39.jpeg,1083,1399,Fri May 05 16:50:32 2017,9634029
8,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/a08c14be-b78d-4360-8adc-672894d112f8.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/d77a2bce-9791-40be-b058-4aed4393d107.jpeg,1065,1399,Fri May 05 16:50:32 2017,9634032
9,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/40242f7b-dced-42b0-abe3-5450376e3829.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/19c5edeb-45c3-4b4a-9928-65b602e8c5ed.jpeg,1083,1399,Fri May 05 16:50:32 2017,9634034
10,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/271fe1a8-8e30-455a-8270-7389a380f12a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/5be4d3b9-5d90-4294-b1cb-aa2243dd6e67.jpeg,1065,1399,Fri May 05 16:50:32 2017,9634036
11,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/37c76f20-e6c7-448c-a254-c82fad3868c1.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/4403b024-e347-4c94-92fb-daba06102dff.jpeg,1083,1399,Fri May 05 16:50:32 2017,9634039
12,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/1f8982a3-5c5d-4312-87d5-7adf73794074.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/332ec57e-6c48-451e-8c7c-668378f75738.jpeg,1065,1399,Fri May 05 16:50:32 2017,9634040
13,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/9064625e-a86e-449c-ab30-daaa671db972.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/3fd2fb87-883a-4586-b282-12bc78534b8b.jpeg,1083,1399,Fri May 05 16:50:33 2017,9634043
14,Belvedere 1894,https://panoptes-uploads.zooniverse.org/production/subject_location/86b3d4ad-5348-44e7-a7c5-ba72bb9a7a3b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/5bfb911f-ed9c-4016-8142-9ef22077ddab.jpeg,1065,1399,Fri May 05 16:50:33 2017,9634045
