order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/b91d2135-9839-48b3-a942-8548cb2c2c2c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/7967cbd2-4eeb-4878-ae14-87ee8a423bf7.jpeg,1073,1400,Fri May 05 16:50:50 2017,9635130
2,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/61b09f0b-4ca7-459e-a2df-8bd7496bc6fd.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/ef0c4254-7a71-4354-a9d7-1622751a6ec9.jpeg,1025,1400,Fri May 05 16:50:50 2017,9635132
3,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/e2720e0b-87bc-407a-b7ed-ef68d1e7ad96.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/e6de7246-135d-434f-94a9-2c5e6e9a3dd1.jpeg,1073,1400,Fri May 05 16:50:50 2017,9635134
4,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/5f6049cd-351d-4123-a69d-0768dbbf7b0e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/82a47e5a-3d90-4030-837e-00932bea93c1.jpeg,1032,1400,Fri May 05 16:50:50 2017,9635136
5,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/dc5ddf6b-fb6c-46d0-9077-fd231bcadcd8.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0988e948-8dd3-43fd-ab27-93f8da94328c.jpeg,1073,1400,Fri May 05 16:50:51 2017,9635138
6,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/1c64c51d-ac62-470c-bf58-d796aafbf88f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/dd7ec2a1-5c65-4476-8ad8-1ae175eb1276.jpeg,1036,1400,Fri May 05 16:50:51 2017,9635141
7,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/80a36436-9bb3-4990-90e1-e4b00c9cb99c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/a89e3e37-4d42-423b-9e3f-447a8fd94a3c.jpeg,1073,1400,Fri May 05 16:50:51 2017,9635142
8,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/83ce3f58-b425-4ade-89f3-4eea7b157e96.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/3f813ab2-9f44-4504-93d3-6edd2e681ab7.jpeg,1036,1400,Fri May 05 16:50:51 2017,9635145
9,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/f8906f2e-98e1-4a0f-a893-ad54bcb76d89.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/bf65a50a-0a60-42e4-bc44-0926cf3c260d.jpeg,1073,1400,Fri May 05 16:50:51 2017,9635149
10,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/f157db01-588a-433a-b7f5-4e593f4c932a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/ceea51f2-1cb7-4406-af80-332939525363.jpeg,1032,1400,Fri May 05 16:50:51 2017,9635150
11,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/9f5428fd-073a-4e14-bada-63866aefa776.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/b84449a9-a56b-420d-9242-e6c32566e4f3.jpeg,1073,1400,Fri May 05 16:50:51 2017,9635152
12,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/3c6162fb-57a8-4810-b51f-36a5ba7e943d.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/ae64bc5d-5a2f-4f29-b7f1-f6ec05223bbc.jpeg,1036,1400,Fri May 05 16:50:51 2017,9635155
13,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/c070bc34-c749-4132-939d-54d81aca5ddb.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0e160863-88d7-471b-b7bc-fd4d9ff1a568.jpeg,1073,1400,Fri May 05 16:50:51 2017,9635156
14,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/8d2f33fe-24d3-4945-8961-eb950148a4cb.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9c96d174-4141-4dad-a7ab-b04c445b2b7e.jpeg,1032,1400,Fri May 05 16:50:52 2017,9635160
15,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/5ba39341-8311-4212-9aaf-7c12095e8459.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/e3e72864-2b46-4d2e-9746-d3b581a50450.jpeg,1073,1400,Fri May 05 16:50:52 2017,9635161
16,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/6ca8964d-0c09-47f2-9e7f-4a36b2ed5a03.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9a61fd2a-7b01-457b-8c47-3c1a2e7c7801.jpeg,1017,1400,Fri May 05 16:50:52 2017,9635164
17,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/f48ecedf-ce68-44ae-a901-31e957bcfc20.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/91f87ef6-5579-42a8-b5c0-eab1493cd979.jpeg,1073,1400,Fri May 05 16:50:52 2017,9635167
18,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/d4c083d2-81ae-4f95-b3f2-f37312840dac.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/7c2dd907-0c99-41be-b8ef-6b4ffa38161d.jpeg,1029,1400,Fri May 05 16:50:52 2017,9635169
19,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/3b442290-dc4b-41a2-8579-11b138f40334.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/d45ddae2-f2a3-4a2f-8236-ce938879b06f.jpeg,1073,1400,Fri May 05 16:50:52 2017,9635171
20,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/c0e65ef7-375e-4a85-bbe1-7fe70b0dacd5.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/03d5d5e0-5de8-4f2c-85b5-2bd95ddda626.jpeg,1025,1400,Fri May 05 16:50:52 2017,9635174
21,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/deec25bc-d6d0-463c-8f1f-36cc27df9f9e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/1f0c21de-84c4-41b6-bf6f-48fe44535514.jpeg,1073,1400,Fri May 05 16:50:52 2017,9635176
22,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/c4977853-f26a-47a4-8932-12f881fbf669.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/edc962da-12a9-47f1-a8c2-eb10a10c8b3c.jpeg,1017,1400,Fri May 05 16:50:52 2017,9635178
23,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/7fad3e8c-80eb-45b0-b891-ab83f8707c18.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/8542dbc9-7795-462b-a75e-e5302d696c2b.jpeg,1073,1400,Fri May 05 16:50:53 2017,9635181
24,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/604dae35-cbc5-40ad-986a-7017a12e8616.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/96d269c2-80aa-4cb3-b4ef-184ceee356f6.jpeg,1047,1400,Fri May 05 16:50:53 2017,9635183
25,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/aa7f0b31-28b2-4a4e-a081-cf45c0250ca7.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/796e0dfb-2cd5-46b0-a531-7bc9439dbd73.jpeg,1073,1400,Fri May 05 16:50:53 2017,9635184
26,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/b0363b3e-837b-4d16-bb7e-53cba79876e0.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/f81d6eb9-7e55-4a44-8bdc-af51d63d6a81.jpeg,1040,1400,Fri May 05 16:50:53 2017,9635187
27,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/ce2560d7-85a9-473c-96f1-1a42d8609178.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/5bc8e219-0179-4f42-b619-0785c72d4bcd.jpeg,1073,1400,Fri May 05 16:50:53 2017,9635189
28,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/2908c6e0-6e3b-47f8-b8d7-799c715a63a9.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/ae41122a-ba23-41d1-bb64-00fe0ac3386b.jpeg,1040,1400,Fri May 05 16:50:53 2017,9635190
29,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/6a1fa39f-cfbb-4869-bc6e-854cb971b2d1.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/4603b2e0-5a34-4896-9e48-e87ac81c5231.jpeg,1073,1400,Fri May 05 16:50:53 2017,9635192
30,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/b4a1c5c6-9884-435c-b86f-5d65626431ec.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/6d528d83-2c99-4c75-9879-fbf4a6bac99f.jpeg,1040,1400,Fri May 05 16:50:53 2017,9635195
31,California 1893,https://panoptes-uploads.zooniverse.org/production/subject_location/11aad104-f355-48ee-b3d2-c973788d411c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/50d7b8af-0f2f-41c2-87de-fa4b9794e67b.jpeg,1073,1400,Fri May 05 16:50:53 2017,9635197
