order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/07c6a759-fd8f-43e3-9b2c-9a5bb13f97a1.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/e17863e5-2b1e-414f-a215-a2d907c29ea2.jpeg,933,1400,Fri May 05 16:51:00 2017,9649746
2,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/0fe1651b-1eb3-4b19-89f1-d5b3b083b04f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/a07f68ae-ecfc-48f3-a352-c5b040934e92.jpeg,933,1400,Fri May 05 16:51:00 2017,9649747
3,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/c65ee627-a4dd-4d27-99f0-423df815111e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/42814586-59ca-4f6f-9551-8355ed109dbf.jpeg,933,1400,Fri May 05 16:51:01 2017,9649748
4,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/b10f399e-a9d3-4380-8c93-c35c43652b1f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/4a3899c5-445c-46f9-b074-a885bdec0d0b.jpeg,933,1400,Fri May 05 16:51:01 2017,9649749
5,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/784c0cd2-60f6-48c0-9b57-b475e5fdeffd.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/87c2ebad-f023-4d41-b9ef-6c74531ba101.jpeg,933,1400,Fri May 05 16:51:01 2017,9649750
6,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/aaf848db-0229-4e48-8f6c-3628bd7778ca.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/388a36cf-d549-4101-9735-0424df8f4ee3.jpeg,933,1400,Fri May 05 16:51:01 2017,9649751
7,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/7992a12c-b352-43e0-ad50-f7df6ec183f0.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/74087a57-8e2c-478c-9041-0599f9e9a79f.jpeg,933,1400,Fri May 05 16:51:01 2017,9649752
8,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/52c8b985-79fd-4c2f-a12b-c4436b12cdac.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/4b46d7ad-2a65-44ac-8e03-334276871a03.jpeg,933,1400,Fri May 05 16:51:01 2017,9649753
9,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/a5263f6a-f010-44a2-82b9-6f649d9e91cb.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/b8b819a1-be60-4ef9-b1da-e92eb7ce7d9a.jpeg,933,1400,Fri May 05 16:51:01 2017,9649754
10,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/02814a2b-3f8a-438c-a3fe-bfcbf0bf06ff.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/23057a29-b398-4487-bfdc-20f6bf2cdce7.jpeg,933,1400,Fri May 05 16:51:01 2017,9649756
11,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/3343c408-837a-46e7-a522-a03db0500a4e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/8d55c397-e88f-42c6-ad66-077372e1b4dd.jpeg,933,1400,Fri May 05 16:51:01 2017,9649757
12,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/0a68057d-6a51-48b5-bff6-86d911c03556.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/1779e69a-2129-45c7-aae4-cdd77310b819.jpeg,933,1400,Fri May 05 16:51:02 2017,9649758
13,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/ceee0b3c-58bd-4818-96cd-1df7f73e46a9.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/c5e77ceb-85cd-4574-86ec-88cefdfca663.jpeg,933,1400,Fri May 05 16:51:02 2017,9649759
14,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/f266a5f1-a4ae-458e-8012-9ed391308d33.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/8c29cf0e-484b-48ac-8781-e955acc697f3.jpeg,933,1400,Fri May 05 16:51:02 2017,9649760
15,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/a84e96b5-d4fd-487c-9428-d0e418b78b66.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/7a40e3ad-ad13-4fff-a967-1abdccc2c622.jpeg,933,1400,Fri May 05 16:51:02 2017,9649761
16,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/6b2d2870-bfb6-4a7f-9dc2-efeeec596955.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/158fffe3-69df-473e-9045-6320917e1cf4.jpeg,933,1400,Fri May 05 16:51:02 2017,9649762
17,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/0cefb04e-f39c-44b3-94b0-69aeac746bb5.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/3cf0677f-71fb-4005-9254-a7163212622e.jpeg,933,1400,Fri May 05 16:51:02 2017,9649763
18,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/84d2d158-2644-4aed-8774-04a05df8781f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/d890c901-de8d-4481-8ee9-23762793e7bf.jpeg,933,1400,Fri May 05 16:51:02 2017,9649764
19,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/b344d73d-9e10-4189-a2ac-7b874caaeb3e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/c10712c6-8dcb-4547-9591-55dd3e11a2ac.jpeg,933,1400,Fri May 05 16:51:02 2017,9649765
20,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/b322bd17-a712-4907-a57d-2ceeb9741e73.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/78e62daf-ddd6-41f1-a201-c968a39abd62.jpeg,933,1400,Fri May 05 16:51:02 2017,9649766
21,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/d964615d-6637-4383-b4f8-743599899b18.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/d9a2d120-5b9e-4a2a-b01b-f2938e67a4d1.jpeg,933,1400,Fri May 05 16:51:03 2017,9649767
22,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/88730f19-8282-4dbf-af8a-7c05b650eda4.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/a652f959-fc20-4e03-b577-7448ce94fbc1.jpeg,933,1400,Fri May 05 16:51:03 2017,9649768
23,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/fb28be0e-4c9f-40b0-8ea1-d095a038b030.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/32d3e33e-5272-4727-a4c2-120897c391c3.jpeg,933,1400,Fri May 05 16:51:03 2017,9649769
24,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/a82fe96e-458c-4c2c-b365-02396cb5f00d.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/3afa1d07-57dc-4ca4-b717-b196bc744502.jpeg,933,1400,Fri May 05 16:51:03 2017,9649770
25,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/280a08d6-e464-46b0-ba6e-c80432026fcc.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/564003f1-aca2-4470-ac1a-e3535508983d.jpeg,933,1400,Fri May 05 16:51:03 2017,9649771
26,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/97688805-3513-44aa-bcc8-073fe54f3253.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/615f50de-291c-458a-9a3b-15e10252fb04.jpeg,933,1400,Fri May 05 16:51:03 2017,9649772
27,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/07c6bafe-f914-4dac-b0f5-4112c490c48e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/b3cd27a0-41cd-4bb3-a48e-ca6e2fedc44e.jpeg,933,1400,Fri May 05 16:51:03 2017,9649773
28,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/294369a4-3f07-4b7b-af37-851de0abb60a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/873562d9-0e7e-431c-a0d2-46aea36f9520.jpeg,933,1400,Fri May 05 16:51:03 2017,9649774
29,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/61973dd7-2a90-4143-9ebf-91e46db28ede.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/802f4f97-9c5a-4e23-9d53-bb31d4cfc303.jpeg,933,1400,Fri May 05 16:51:03 2017,9649776
30,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/d677f2c8-4076-4a50-a04a-935cafb6fb37.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/76393d35-cfaa-4a3b-9689-e9ec29fff3fc.jpeg,933,1400,Fri May 05 16:51:04 2017,9649777
31,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/d5cd511e-9473-4a43-baa9-10338f8b9043.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/031fa7cf-cbfa-4afd-a53d-14c99f022ae4.jpeg,933,1400,Fri May 05 16:51:04 2017,9649778
32,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/a76e1cde-4eed-4cdc-b563-24560f6d8033.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/2f58cb83-dfc6-4df9-ae62-b1a2c5ab5f47.jpeg,933,1400,Fri May 05 16:51:04 2017,9649779
33,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/4848e9f3-6da0-49ee-ad47-a39a19ee2ed8.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/f3cfd87a-be0d-410b-8d0a-adac814c9ab9.jpeg,933,1400,Fri May 05 16:51:04 2017,9649780
34,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/58b19ceb-e405-4327-b30f-a785b6974799.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/bb442975-7b3e-4fa1-aad8-4035b5989ab4.jpeg,933,1400,Fri May 05 16:51:04 2017,9649781
35,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/7f8392f7-c813-4736-9d77-bebe47d8fdf2.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/d376a8ea-d731-4444-b6a5-c23ad140471d.jpeg,933,1400,Fri May 05 16:51:04 2017,9649782
36,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/a57f7655-64d9-4c8c-9a50-837dbc3f1a98.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/96482425-0f5f-420c-9133-db35638f8cf4.jpeg,933,1400,Fri May 05 16:51:04 2017,9649783
37,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/af45f538-68e4-401d-be81-d659d47ddfd5.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9d254df3-4858-4aa3-bcda-a195561d1910.jpeg,933,1400,Fri May 05 16:51:04 2017,9649784
38,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/d540c7dd-1b54-4011-a1b2-dd802f119d0e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/2ebb22b1-a4d7-4db5-85a6-279f94d5283e.jpeg,933,1400,Fri May 05 16:51:04 2017,9649785
39,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/dfe81645-297e-4c16-93ed-8a70dd39e707.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/cda7211a-565e-4f37-831d-087660b534fa.jpeg,933,1400,Fri May 05 16:51:05 2017,9649786
40,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/f96eb399-be1d-40ac-9c59-c00a5552752e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/cbeea257-f8ca-4a27-bc00-813f70b5fae6.jpeg,933,1400,Fri May 05 16:51:05 2017,9649787
41,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/77aadc60-d9a0-4633-9ad4-d8e6e7b344a9.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/7adee340-d3f9-4793-9a56-a24e61294079.jpeg,933,1400,Fri May 05 16:51:05 2017,9649788
42,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/845b6783-580f-4807-b15f-090fbd282da9.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/b6f95ce8-5a3a-4432-9729-7b5ae4eb1c7e.jpeg,933,1400,Fri May 05 16:51:05 2017,9649789
43,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/71b9a3d0-3eec-471b-9891-000be8a85a93.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/47787897-bf52-4562-8a2f-bbae66e7e68d.jpeg,933,1400,Fri May 05 16:51:05 2017,9649790
44,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/c9887069-1d38-4e3c-9b8d-2727b5ecbed1.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/b33ae9d0-c808-4a42-b746-d80f8fea4119.jpeg,933,1400,Fri May 05 16:51:05 2017,9649791
45,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/8a512082-6931-4a22-8807-1e7f50c5d7f0.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0cbcdfd2-3bb2-4370-9088-445b848c9f5d.jpeg,933,1400,Fri May 05 16:51:05 2017,9649792
46,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/43d2569a-9e9b-4c57-96c7-25caa22b8be8.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/b713505f-7291-4cb3-bdee-edfb70e8b426.jpeg,933,1400,Fri May 05 16:51:05 2017,9649793
47,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/2f3105fb-2c49-44b8-a9f6-1e36518cc75a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0e142d30-5afd-4c14-beb9-2ea99fc2e1cc.jpeg,933,1400,Fri May 05 16:51:06 2017,9649794
48,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/c3aa6441-523d-48c9-a02b-1cb4007adc46.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/03943339-5ae4-4162-af64-659bb234448c.jpeg,933,1400,Fri May 05 16:51:06 2017,9649795
49,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/b7debe1e-6895-4b10-8f25-f72711b2ef75.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9ad14965-5666-4f3c-8b44-463455ca5b59.jpeg,933,1400,Fri May 05 16:51:06 2017,9649796
50,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/40c4116e-f907-485d-983e-73aefcaaba8e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9c0e4fbf-fab6-4932-afe8-c33d52ddf88c.jpeg,933,1400,Fri May 05 16:51:06 2017,9649798
51,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/1016a407-3c6e-4da3-b766-af8f410f8514.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/9fccddf0-68e9-4cf7-8db3-da6c1b213033.jpeg,933,1400,Fri May 05 16:51:06 2017,9649799
52,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/f1a54fce-3dd4-49a4-a0e9-b21e7b36e627.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/bb3d3e7e-2ca6-4c20-967f-31ee33bfcc61.jpeg,933,1400,Fri May 05 16:51:06 2017,9649800
53,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/c72bffbd-1c05-4beb-b5a3-68990c3f9e26.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/4fc353e5-99a8-4ebc-8d83-e9342b100339.jpeg,933,1400,Fri May 05 16:51:06 2017,9649801
