order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,Albion 3,https://panoptes-uploads.zooniverse.org/production/subject_location/a76d18da-8ba4-4910-b3e4-ed319658aa84.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/eec61562-fb51-40c3-9399-82a446472bed.jpeg,956,1399,Tue Apr 05 20:38:23 2016,1931291
2,Albion 3,https://panoptes-uploads.zooniverse.org/production/subject_location/afd7ac45-496b-4524-b8db-a8be413dd6de.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/4059cb6b-e4a9-4e00-99e3-e3dc061295a1.jpeg,987,1400,Tue Apr 05 20:38:23 2016,1931292
3,Albion 3,https://panoptes-uploads.zooniverse.org/production/subject_location/84f67a9a-b040-40bc-a43d-5619055a2cfa.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/ecc4a398-6731-4808-9a6b-bc8f45d99faf.jpeg,956,1399,Tue Apr 05 20:38:23 2016,1931293
4,Albion 3,https://panoptes-uploads.zooniverse.org/production/subject_location/b8882a1d-a7a1-4c35-9e9f-97d5e8be0e0c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/85ca6839-339c-4d13-abe9-2bb6266ea6bd.jpeg,987,1400,Tue Apr 05 20:38:23 2016,1931294
5,Albion 3,https://panoptes-uploads.zooniverse.org/production/subject_location/e3e48cd4-b087-4c17-b58f-c8cf44a4a6b3.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/2dc026fb-44ad-4573-99b2-23387fff8314.jpeg,956,1399,Tue Apr 05 20:38:23 2016,1931295
6,Albion 3,https://panoptes-uploads.zooniverse.org/production/subject_location/7a635868-2542-468b-942d-ee740c65100f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/d5769ad0-4050-47d9-830a-aef7f3bb4d4f.jpeg,987,1400,Tue Apr 05 20:38:23 2016,1931296
7,Albion 3,https://panoptes-uploads.zooniverse.org/production/subject_location/2ffbca5a-da57-4250-841a-c3888472f8ba.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/c50993e2-c47a-475d-bf83-e45ea5516adb.jpeg,956,1399,Tue Apr 05 20:38:23 2016,1931297
8,Albion 3,https://panoptes-uploads.zooniverse.org/production/subject_location/ade8c24d-6a3c-4021-8b08-2c23e1b7fa20.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/64746c0d-c416-41da-bb66-cd353db06aba.jpeg,987,1400,Tue Apr 05 20:38:23 2016,1931298
9,Albion 3,https://panoptes-uploads.zooniverse.org/production/subject_location/f17853cc-004e-43e5-8148-26399ee23ac3.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/e0b2aa8b-fc00-44a2-9f2c-6f3a9b301a84.jpeg,956,1399,Tue Apr 05 20:38:23 2016,1931299
10,Albion 3,https://panoptes-uploads.zooniverse.org/production/subject_location/026942cc-14aa-4bdc-bf9b-37581e2759c2.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/de6b93c6-8f11-4e35-86a5-90aa70f9efbd.jpeg,987,1400,Tue Apr 05 20:38:23 2016,1931300
