order,file_path,thumbnail,width,height,date_created
1,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0001.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0001_thumb.jpg,2905,4824,Tue Sep 22 09:59:46 CDT 2015
2,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0002.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0002_thumb.jpg,2973,4744,Tue Sep 22 09:59:46 CDT 2015
3,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0003.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0003_thumb.jpg,2833,4616,Tue Sep 22 09:59:46 CDT 2015
4,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0004.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0004_thumb.jpg,2739,4356,Tue Sep 22 09:59:46 CDT 2015
5,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0005.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0005_thumb.jpg,2696,4388,Tue Sep 22 09:59:46 CDT 2015
6,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0006.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0006_thumb.jpg,2691,4355,Tue Sep 22 09:59:46 CDT 2015
7,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0007.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0007_thumb.jpg,2811,4487,Tue Sep 22 09:59:46 CDT 2015
8,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0008.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0008_thumb.jpg,2840,4479,Tue Sep 22 09:59:46 CDT 2015
9,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0009.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0009_thumb.jpg,2856,4578,Tue Sep 22 09:59:46 CDT 2015
10,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0010.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0010_thumb.jpg,2840,4524,Tue Sep 22 09:59:46 CDT 2015
11,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0011.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0011_thumb.jpg,2856,4578,Tue Sep 22 09:59:46 CDT 2015
12,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0012.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0012_thumb.jpg,2840,4524,Tue Sep 22 09:59:46 CDT 2015
13,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0013.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0013_thumb.jpg,2856,4578,Tue Sep 22 09:59:46 CDT 2015
14,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0014.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0014_thumb.jpg,2840,4524,Tue Sep 22 09:59:46 CDT 2015
15,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0015.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0015_thumb.jpg,2856,4578,Tue Sep 22 09:59:46 CDT 2015
16,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0016.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0016_thumb.jpg,2840,4524,Tue Sep 22 09:59:46 CDT 2015
17,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0017.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0017_thumb.jpg,2856,4578,Tue Sep 22 09:59:46 CDT 2015
18,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0018.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0018_thumb.jpg,2840,4524,Tue Sep 22 09:59:46 CDT 2015
19,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0019.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0019_thumb.jpg,2856,4578,Tue Sep 22 09:59:46 CDT 2015
20,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0020.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0020_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
21,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0021.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0021_thumb.jpg,2856,4578,Tue Sep 22 09:59:46 CDT 2015
22,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0022.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0022_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
23,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0023.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0023_thumb.jpg,2856,4578,Tue Sep 22 09:59:46 CDT 2015
24,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0024.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0024_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
25,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0025.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0025_thumb.jpg,2856,4578,Tue Sep 22 09:59:46 CDT 2015
26,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0026.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0026_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
