order,file_path,thumbnail,width,height,capture_location,date,set_key
1,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0026.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0026_thumb.jpg,1600,2628,n/a,n/a,n/a
2,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0027.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0027_thumb.jpg,1600,2649,n/a,n/a,n/a
3,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0028.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0028_thumb.jpg,1600,2628,n/a,n/a,n/a
4,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0029.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0029_thumb.jpg,1600,2683,n/a,n/a,n/a
5,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0030.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0030_thumb.jpg,1600,2628,n/a,n/a,n/a
6,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0031.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0031_thumb.jpg,1600,2649,n/a,n/a,n/a
7,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0032.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0032_thumb.jpg,1600,2628,n/a,n/a,n/a
8,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0033.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0033_thumb.jpg,1600,2649,n/a,n/a,n/a
9,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0034.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0034_thumb.jpg,1600,2628,n/a,n/a,n/a
10,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0035.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0035_thumb.jpg,1600,2649,n/a,n/a,n/a
11,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0036.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0036_thumb.jpg,1600,2636,n/a,n/a,n/a
12,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0037.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0037_thumb.jpg,1600,2649,n/a,n/a,n/a
13,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0038.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0038_thumb.jpg,1600,2628,n/a,n/a,n/a
14,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0039.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0039_thumb.jpg,1600,2649,n/a,n/a,n/a
15,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0040.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0040_thumb.jpg,1600,2628,n/a,n/a,n/a
16,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0041.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0041_thumb.jpg,1600,2649,n/a,n/a,n/a
17,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0042.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0042_thumb.jpg,1600,2628,n/a,n/a,n/a
18,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0043.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0043_thumb.jpg,1600,2649,n/a,n/a,n/a
19,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0044.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0044_thumb.jpg,1600,2628,n/a,n/a,n/a
20,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0045.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0045_thumb.jpg,1600,2649,n/a,n/a,n/a
21,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0046.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/herman/logbookofhermans00unse_0046_thumb.jpg,1600,2628,n/a,n/a,n/a
