order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,Herman 1,https://panoptes-uploads.zooniverse.org/production/subject_location/984d7812-0db2-4b61-8467-c1eb0564648f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/3a69ccd5-5348-4b49-a90b-c6834bbfe837.jpeg,872,1399,Fri Dec 02 10:08:51 2016,4654246
2,Herman 1,https://panoptes-uploads.zooniverse.org/production/subject_location/07eef9f4-50ba-41a5-83bb-e098754dae10.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/86e31f8f-0882-40ca-be3e-2e8aa543f360.jpeg,872,1399,Fri Dec 02 10:08:52 2016,4654247
3,Herman 1,https://panoptes-uploads.zooniverse.org/production/subject_location/b421e43e-6e02-4bdf-a01e-20ba37fa43ba.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/5e898112-4bca-4270-b75f-8b226d9d0e6e.jpeg,872,1399,Fri Dec 02 10:08:52 2016,4654248
4,Herman 1,https://panoptes-uploads.zooniverse.org/production/subject_location/13ea4bc7-9c90-4f31-b195-dd2792184e6c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/95f869c1-871d-45d9-869f-4282be19ac24.jpeg,872,1399,Fri Dec 02 10:08:52 2016,4654249
5,Herman 1,https://panoptes-uploads.zooniverse.org/production/subject_location/191c3bf6-6216-4016-ba91-44a5ecb8e9d4.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/95def5d6-968a-44c7-9267-edabbd47fb78.jpeg,872,1399,Fri Dec 02 10:08:52 2016,4654250
6,Herman 1,https://panoptes-uploads.zooniverse.org/production/subject_location/8e505af8-0af0-4715-9ec5-df4c6b31f037.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/7e4790f8-27e0-4a5e-8577-0b42ae222651.jpeg,872,1399,Fri Dec 02 10:08:52 2016,4654251
7,Herman 1,https://panoptes-uploads.zooniverse.org/production/subject_location/8a995ef3-646d-4acf-bf87-8ba89b47e11e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/4ddf85ae-3d6f-44ce-8c8f-4f2e25863e91.jpeg,872,1399,Fri Dec 02 10:08:52 2016,4654252
8,Herman 1,https://panoptes-uploads.zooniverse.org/production/subject_location/77b1c793-325d-4e78-a536-1c9085d7ddb3.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/539ba834-9e4d-4cd3-9841-4d4e7702c662.jpeg,872,1399,Fri Dec 02 10:08:52 2016,4654253
9,Herman 1,https://panoptes-uploads.zooniverse.org/production/subject_location/d6c9619d-33f7-47ec-ac41-4e6bc603f4b5.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/c4134156-9853-43ae-9152-8c840bda6af3.jpeg,872,1399,Fri Dec 02 10:08:52 2016,4654254
10,Herman 1,https://panoptes-uploads.zooniverse.org/production/subject_location/d6d31832-af7e-4ef7-98ed-e4109d029684.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/82309a6a-ff40-4f4e-b628-971bba3da925.jpeg,872,1399,Fri Dec 02 10:08:53 2016,4654255
