order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0001.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0001_thumb.jpg,3417,4276,Tue Sep 22 11:18:19 CDT 2015,964980
2,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0002.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0002_thumb.jpg,3614,4226,Tue Sep 22 11:18:19 CDT 2015,964981
3,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0003.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0003_thumb.jpg,3431,4162,Tue Sep 22 11:18:19 CDT 2015,964982
4,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0004.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0004_thumb.jpg,3431,4162,Tue Sep 22 11:18:19 CDT 2015,964983
5,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0005.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0005_thumb.jpg,3431,4162,Tue Sep 22 11:18:19 CDT 2015,964984
6,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0006.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0006_thumb.jpg,3408,4124,Tue Sep 22 11:18:19 CDT 2015,964985
7,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0007.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0007_thumb.jpg,3431,4162,Tue Sep 22 11:18:19 CDT 2015,964986
8,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0008.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0008_thumb.jpg,3216,4116,Tue Sep 22 11:18:19 CDT 2015,964987
9,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0009.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0009_thumb.jpg,3431,4162,Tue Sep 22 11:18:19 CDT 2015,964988
10,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0010.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0010_thumb.jpg,3400,4052,Tue Sep 22 11:18:19 CDT 2015,964989
11,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0011.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0011_thumb.jpg,3384,4123,Tue Sep 22 11:18:19 CDT 2015,964990
12,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0012.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0012_thumb.jpg,3431,4162,Tue Sep 22 11:18:19 CDT 2015,964991
13,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0013.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0013_thumb.jpg,3431,4162,Tue Sep 22 11:18:19 CDT 2015,964992
14,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0014.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0014_thumb.jpg,3416,4060,Tue Sep 22 11:18:19 CDT 2015,964993
15,horatio,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0015.jpg,http://whaling-data.oldweather.org/subjects/logbookofhoratio00hora_0015_thumb.jpg,3400,4131,Tue Sep 22 11:18:19 CDT 2015,964994
