order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0001.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0001_thumb.jpg,3313,5035,Tue Sep 22 11:18:19 CDT 2015,965047
2,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0002.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0002_thumb.jpg,3207,4916,Tue Sep 22 11:18:19 CDT 2015,965048
3,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0003.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0003_thumb.jpg,3259,4916,Tue Sep 22 11:18:19 CDT 2015,965049
4,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0004.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0004_thumb.jpg,3215,4916,Tue Sep 22 11:18:19 CDT 2015,965050
5,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0005.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0005_thumb.jpg,3211,4916,Tue Sep 22 11:18:19 CDT 2015,965051
6,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0006.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0006_thumb.jpg,3297,4963,Tue Sep 22 11:18:19 CDT 2015,965052
7,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0007.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0007_thumb.jpg,3320,4963,Tue Sep 22 11:18:19 CDT 2015,965053
8,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0008.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0008_thumb.jpg,3297,4963,Tue Sep 22 11:18:19 CDT 2015,965054
9,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0009.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0009_thumb.jpg,3320,4963,Tue Sep 22 11:18:19 CDT 2015,965055
10,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0010.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0010_thumb.jpg,3297,4963,Tue Sep 22 11:18:19 CDT 2015,965056
11,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0011.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0011_thumb.jpg,3320,4963,Tue Sep 22 11:18:19 CDT 2015,965057
12,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0012.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0012_thumb.jpg,3297,4963,Tue Sep 22 11:18:19 CDT 2015,965058
13,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0013.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0013_thumb.jpg,3320,4963,Tue Sep 22 11:18:19 CDT 2015,965059
14,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0014.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0014_thumb.jpg,3297,4963,Tue Sep 22 11:18:19 CDT 2015,965060
15,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0015.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0015_thumb.jpg,3320,4963,Tue Sep 22 11:18:19 CDT 2015,965061
16,milo,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0016.jpg,http://whaling-data.oldweather.org/subjects/logbookofmiloship00milo_0016_thumb.jpg,3312,4956,Tue Sep 22 11:18:19 CDT 2015,965062
