order,file_path,thumbnail,width,height,date_created
1,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0058.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0058_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
2,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0059.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0059_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
3,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0060.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0060_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
4,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0061.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0061_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
5,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0062.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0062_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
6,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0063.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0063_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
7,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0064.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0064_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
8,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0065.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0065_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
9,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0066.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0066_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
10,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0067.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0067_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
11,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0068.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0068_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
12,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0069.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0069_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
13,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0070.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0070_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
14,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0071.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0071_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
15,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0072.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0072_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
16,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0073.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0073_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
17,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0074.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0074_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
18,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0075.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0075_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
19,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0076.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0076_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
20,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0077.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0077_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
21,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0078.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0078_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
22,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0079.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0079_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
23,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0080.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0080_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
24,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0081.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0081_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
25,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0082.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0082_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
26,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0083.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0083_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
27,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0084.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0084_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
28,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0085.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0085_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
29,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0086.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0086_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
30,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0087.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0087_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
31,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0088.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0088_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
32,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0089.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0089_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
33,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0090.jpg,http://whaling-data.oldweather.org/subjects/rosarioschoonero00unse_0090_thumb.jpg,2539,4282,Tue Sep 22 09:59:46 CDT 2015
