order,file_path,thumbnail,width,height,capture_location,date,set_key,metadata
1,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0069.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0069_thumb.jpg,1600,2636,n/a,n/a,n/a,916723
2,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0070.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0070_thumb.jpg,1600,2575,n/a,n/a,n/a,916771
3,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0071.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0071_thumb.jpg,1600,2636,n/a,n/a,n/a,916731
4,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0072.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0072_thumb.jpg,1600,2575,n/a,n/a,n/a,916722
5,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0073.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0073_thumb.jpg,1600,2636,n/a,n/a,n/a,916767
6,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0074.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0074_thumb.jpg,1600,2575,n/a,n/a,n/a,916732
7,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0075.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0075_thumb.jpg,1600,2636,n/a,n/a,n/a,916729
8,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0076.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0076_thumb.jpg,1600,2575,n/a,n/a,n/a,916716
9,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0077.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0077_thumb.jpg,1600,2636,n/a,n/a,n/a,916753
10,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0078.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0078_thumb.jpg,1600,2575,n/a,n/a,n/a,916739
11,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0079.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0079_thumb.jpg,1600,2636,n/a,n/a,n/a,916751
12,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0080.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0080_thumb.jpg,1600,2575,n/a,n/a,n/a,916777
13,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0081.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0081_thumb.jpg,1600,2636,n/a,n/a,n/a,916715
14,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0082.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0082_thumb.jpg,1600,2575,n/a,n/a,n/a,916733
15,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0083.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0083_thumb.jpg,1600,2636,n/a,n/a,n/a,916744
16,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0084.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0084_thumb.jpg,1600,2575,n/a,n/a,n/a,916719
17,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0085.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0085_thumb.jpg,1600,2636,n/a,n/a,n/a,916774
18,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0086.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0086_thumb.jpg,1600,2575,n/a,n/a,n/a,916755
