order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0001.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0001_thumb.jpg,2639,4269,Tue Sep 22 11:18:19 CDT 2015,965633
2,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0002.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0002_thumb.jpg,2461,4266,Tue Sep 22 11:18:19 CDT 2015,965634
3,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0003.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0003_thumb.jpg,2441,4121,Tue Sep 22 11:18:19 CDT 2015,965635
4,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0004.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0004_thumb.jpg,2481,4151,Tue Sep 22 11:18:19 CDT 2015,965636
5,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0005.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0005_thumb.jpg,2438,4116,Tue Sep 22 11:18:19 CDT 2015,965637
6,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0006.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0006_thumb.jpg,2441,4151,Tue Sep 22 11:18:19 CDT 2015,965638
7,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0007.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0007_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965639
8,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0008.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0008_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965640
9,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0009.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0009_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965641
10,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0010.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0010_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965642
11,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0011.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0011_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965643
12,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0012.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0012_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965644
13,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0013.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0013_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965645
14,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0014.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0014_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965646
15,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0015.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0015_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965647
16,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0016.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0016_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965648
17,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0017.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0017_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965649
18,trident,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0018.jpg,http://whaling-data.oldweather.org/subjects/logbookoftrident00trid_0018_thumb.jpg,2634,4508,Tue Sep 22 11:18:19 CDT 2015,965650
