order,file_path,thumbnail,width,height,capture_location,date,set_key,zooniverse_id
1,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0051.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0051_thumb.jpg,1600,2816,n/a,n/a,n/a,916680
2,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0052.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0052_thumb.jpg,1600,2777,n/a,n/a,n/a,916720
3,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0053.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0053_thumb.jpg,1600,2816,n/a,n/a,n/a,916683
4,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0054.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0054_thumb.jpg,1600,2777,n/a,n/a,n/a,916679
5,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0055.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0055_thumb.jpg,1600,2816,n/a,n/a,n/a,916688
6,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0056.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0056_thumb.jpg,1600,2777,n/a,n/a,n/a,916769
7,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0057.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0057_thumb.jpg,1600,2876,n/a,n/a,n/a,916687
8,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0058.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0058_thumb.jpg,1600,2777,n/a,n/a,n/a,916694
9,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0059.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0059_thumb.jpg,1600,2876,n/a,n/a,n/a,916699
10,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0060.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0060_thumb.jpg,1600,2777,n/a,n/a,n/a,916724
11,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0061.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0061_thumb.jpg,1600,2876,n/a,n/a,n/a,916682
12,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0062.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0062_thumb.jpg,1600,2777,n/a,n/a,n/a,916693
13,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0063.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0063_thumb.jpg,1600,2876,n/a,n/a,n/a,916681
14,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0064.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0064_thumb.jpg,1600,2777,n/a,n/a,n/a,916735
15,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0065.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0065_thumb.jpg,1600,2876,n/a,n/a,n/a,916704
16,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0066.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0066_thumb.jpg,1600,2777,n/a,n/a,n/a,916685
17,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0067.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0067_thumb.jpg,1600,2876,n/a,n/a,n/a,916750
18,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0068.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0068_thumb.jpg,1600,2777,n/a,n/a,n/a,916697
19,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0069.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0069_thumb.jpg,1600,2876,n/a,n/a,n/a,916695
20,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0070.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0070_thumb.jpg,1600,2777,n/a,n/a,n/a,916702
21,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0071.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0071_thumb.jpg,1600,2876,n/a,n/a,n/a,916709
22,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0072.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0072_thumb.jpg,1600,2764,n/a,n/a,n/a,916726
23,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0073.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0073_thumb.jpg,1600,2876,n/a,n/a,n/a,916706
24,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0074.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0074_thumb.jpg,1600,2777,n/a,n/a,n/a,916727
25,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0075.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0075_thumb.jpg,1600,2876,n/a,n/a,n/a,916710
26,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0076.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0076_thumb.jpg,1600,2777,n/a,n/a,n/a,916770
27,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0077.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0077_thumb.jpg,1600,2876,n/a,n/a,n/a,916742
28,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0078.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0078_thumb.jpg,1600,2777,n/a,n/a,n/a,916696
29,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0079.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0079_thumb.jpg,1600,2900,n/a,n/a,n/a,916684
30,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0080.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0080_thumb.jpg,1600,2777,n/a,n/a,n/a,916756
31,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0081.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0081_thumb.jpg,1600,2900,n/a,n/a,n/a,916689
32,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0082.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0082_thumb.jpg,1600,2777,n/a,n/a,n/a,916703
33,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0083.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0083_thumb.jpg,1600,2900,n/a,n/a,n/a,916712
34,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0084.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0084_thumb.jpg,1600,2777,n/a,n/a,n/a,916690
35,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0085.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0085_thumb.jpg,1600,2900,n/a,n/a,n/a,916740
36,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0086.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0086_thumb.jpg,1600,2787,n/a,n/a,n/a,916698
37,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0087.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/william/logbookofwilliam00will_0087_thumb.jpg,1600,2850,n/a,n/a,n/a,916717
