order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0001.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0001_thumb.jpg,2907,4797,Tue Sep 22 11:18:19 CDT 2015,968295
2,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0002.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0002_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968296
3,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0003.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0003_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968297
4,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0004.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0004_thumb.jpg,3081,5045,Tue Sep 22 11:18:19 CDT 2015,968298
5,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0005.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0005_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968299
6,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0006.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0006_thumb.jpg,3081,5045,Tue Sep 22 11:18:19 CDT 2015,968300
7,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0007.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0007_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968301
8,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0008.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0008_thumb.jpg,3081,5045,Tue Sep 22 11:18:19 CDT 2015,968302
9,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0009.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0009_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968303
10,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0010.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0010_thumb.jpg,3081,5045,Tue Sep 22 11:18:19 CDT 2015,968304
11,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0011.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0011_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968305
12,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0012.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0012_thumb.jpg,3081,5045,Tue Sep 22 11:18:19 CDT 2015,968306
13,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0013.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0013_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968307
14,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0014.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0014_thumb.jpg,3081,5045,Tue Sep 22 11:18:19 CDT 2015,968308
15,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0015.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0015_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968309
16,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0016.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0016_thumb.jpg,3081,5045,Tue Sep 22 11:18:19 CDT 2015,968310
17,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0017.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0017_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968311
18,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0018.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0018_thumb.jpg,3081,5045,Tue Sep 22 11:18:19 CDT 2015,968312
19,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0019.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0019_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968313
20,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0020.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0020_thumb.jpg,3081,5045,Tue Sep 22 11:18:19 CDT 2015,968314
21,william_baylies_2,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0021.jpg,http://whaling-data.oldweather.org/subjects/williambayliesst00unse_0021_thumb.jpg,3158,5052,Tue Sep 22 11:18:19 CDT 2015,968315
