order,key,name,mss_number,date_span,description,external_url,cover_image_url
1,congress,Congress 1864,KWM 55,"May 31, 1864 - May 15, 1867","Whaling vessel, out of New Bedford, Massachusetts, mastered by John A. Castino, on voyage from May 31, 1864 - May 13, 1867; owner-agent: Edward C. Jones; built at Mattapoisett, Massachusetts, 1823; formerly of the Nantucket fleet; sold to New Bedford in 1843.",http://www.whalingmuseum.org/explore/library/logbooks/congress-kwm_55,http://whaling-data.oldweather.org/images/placeholder.jpg
2,eliza_adams,Eliza Adams 1863,KWM 74,"October 19, 1863 - April 22, 1867","Whaling vessel, out of New Bedford, Massachusetts, mastered by Coddington P. Fish and then John Keenan (Captain Fish became inn in Hawaii and first mate John Keene was appointed relief master, Nov. 1866), on voyage from October 20, 1863 - April 22, 1867; owner-agent: Edward C. Jones; built at Fairhaven, Mass., 1835; abandoned 1879.",http://www.whalingmuseum.org/explore/library/logbooks/eliza_adams-kwm_74,http://whaling-data.oldweather.org/images/Eliza_Adams_KWM74.jpg
3,horatio,Horatio 1896,KWM 104,"March 17, 1896 - November 1, 1896",,http://www.whalingmuseum.org/explore/library/logbooks/digitized-logbook-horatio-kwm_104,http://whaling-data.oldweather.org/images/Horatio_KWM104.jpg
4,milo,Milo 1863,KWM 147,"November 26, 1863 - April 2, 1868","Whaling vessel, out of New Bedford, Mass., mastered by Jonathan Capen Hawes, on voyage from November 26, 1863 - May 7, 1869; owner-agent: E.C. Jones; built at Newburyport in 1811; captured and bonded by the Shenandoah, 1865; sold out, 1872.",http://www.whalingmuseum.org/explore/library/logbooks/milo-kwm_147,http://whaling-data.oldweather.org/images/Milo_rightmost_ODHS_147.jpg
5,saratoga,Saratoga 1857,KWM 180,"April 23, 1857 - December 12, 1858","Whaling vessel, out of New Bedford, Massachusetts, mastered by Frederick Slocum, on voyage from November 3, 1856 - June 1, 1860; owner-agent: Abraham Ashley; built at New York, N.Y., 1832.",http://www.whalingmuseum.org/explore/library/logbooks/saratoga-kwm_180,http://whaling-data.oldweather.org/images/Saratoga_KWM180.jpg
6,trident,Trident 1869,KWM 192,"December 10, 1869 - November 4, 1870","Whaling vessel, out of New Bedford, Mass., mastered by Samuel Green, on voyage from November 16, 1869 - June 10, 1871; owner-agent: Swift & Perry; built at New York, N.Y., 1824.",http://www.whalingmuseum.org/explore/library/logbooks/trident-kwm_192,http://whaling-data.oldweather.org/images/placeholder.jpg
7,betsey_williams,Betsey Williams 1851,KWM 370,"July 23, 1851 - April 20, 1854","Whaling vessel, out of Stonington, Connecticut, mastered by Gilbert Pendleton Jr., on voyage July 24, 1851 - April 20, 1854 to the River Plate, Coast of Chile, Juan Fernandez, Off Shore, Hawaiian Islands, Northwest Coast, Anadyr Sea, and Arctic Ocean whaling grounds; owner-agent: Charles Phelps Williams.",http://www.whalingmuseum.org/explore/library/logbooks/betsey_williams-kwm_370,http://whaling-data.oldweather.org/images/placeholder.jpg
8,helen_snow,Helen Snow 1871,ODHS 6,"October 17, 1871 - August 21, 1872","Whaling vessel (ca. 215 tons), out of New Bedford, Mass., mastered by George H. Macomber, on voyage October 17, 1871 - August 19, 1872 (abandoned in Arctic); owner-agent: Loum Snow & Son; built at Bath, Me., 1851.",http://www.whalingmuseum.org/explore/library/logbooks/helen_snow-odhs_6,http://whaling-data.oldweather.org/images/Helen_Snow_ODHS_6.jpg
9,seneca,Seneca 1869,ODHS 7,"October 16, 1869 - September 14, 1871","Whaling vessel (ca. 328 tons), out of New Bedford, Mass., mastered by Edmund Kelley, on voyage October 16, 1869 - September 14, 1871; owner-agent: Loum Snow & Son, built at Baltimore, Md., 1847, bought from Baltimore and rebuilt at New Bedford, 1869.",http://www.whalingmuseum.org/explore/library/logbooks/seneca-odhs_7,http://whaling-data.oldweather.org/images/placeholder.jpg
10,rosario,Rosario 1891,ODHS 654B,"March 24, 1891 - October 3, 1891","Whaling vessel, out of San Francisco, California, mastered by Edward Coffin, on voyage from March 24, 1891 - November 6, 1891; owner-agent: Bowne Wright.",http://www.whalingmuseum.org/explore/library/logbooks/rosario-odhs_654B,http://whaling-data.oldweather.org/images/Rosario_ODHS_654B.jpg
